name,company,title,country
Fernando González,BLU Creators & Content,Content Strategy and Talent Manager,
Fernando Magalhaes,Claro Brasil / AMCO,Content Director,Brazil
Fernando Muñiz Bethancourt,America TV,CEO,Peru
Fernando Seoane,Jaguar Bite,Content Development,COLOMBIA
Fernando Sugueno,Warner Bros Discovery,Vicepresidente de Contenidos - Mexico,Mexico
Filippo Ugalde,Labodigital,Gerente de Desarrollo de Negocios,Mexico
Fiona Li,COL,Studio Head,
Fiona McWilliam,Paramount,Acquisitions,USA
Flor Almonte,DFEZ Content Management/LCTV,Content Acquisitions / Business Development Consultant,United States Minor Outlying Islands
Flor Maria Torres,Blue V / EcuaStudios,CEO / Bussines Director,Ecuador
Florencia Sabatini,Google,Directora de comunicaciones para Google Hispanoamérica,
Francesca Ricagni,The Mediapro Studio,Head of US Hispanic,USA
Francesco Civita,Pródigo Filmes,CEO and Executive Producer,
Francis Izquierdo,NBCUniversal Telemundo Enterprises,Communications Manager,
Francisco Carrasco,Apnea Films,Productor,
Francisco Cusco,Tastemade Latin America,President,
Francisco Espinoza,Canal 13,Asesor Estratégico,Chile
Francisco Fulla,Canal 13,CHIEF OPERATING OFFICER,Chile
Francisco Javier Arbolí,Arboli,TV/Radio/Writer/Screenwriter/Producer,
Francisco Morales,Amazon Prime video,Head of Content Acquisition Mexico,Mexico
Francisco Rivera,Sony Pictures Television,"Head of Emerging Business, Latin America",USA
FRANCISCO FERREYRA,Prensario,International Business Manager,
Francisco Martin Del Campo,Amazon Studios,Sr. Creative Executive - Scripted,Mexico
Frank Scheuermann,Endemol Shine Boomdog,Unscripted Chief Content Officer,Mexico
Frédéric Groll-Bourel,TV5MONDE,COO LATAM & Caribbean,
Fredrik af Malmborg,Dubhub,ceo,
Gabriel Andriollo,Senãl News,Collaborator,
Gabriel Jacome,TV Globo,Head of Content,Brazil
Gabriela Ortega,Amber Holdings,Associate Producer,
Gabriela Perozo,VPITV,Correspondent,
Gabriela Remirez,Conspiração Filmes S/A,Content Director,
Gabriela Rodriguez,R Media,Executive Vice President of Content,Honduras
